prod_id_key,prod_id_value,next_month_prod_id,prepaid
Adventure Time - 3 Items,2477581697082,4366058782778,f
Boss Babe - 3 Items,2525980524602,4366058782778,f
Boss Babe - 5 Items,2525981343802,4366059143226,f
Comfort Zone - 2 Items,4320734412858,4366058225722,f
Comfort Zone - 3 Items,4320734609466,4366058782778,f
Comfort Zone - 5 Items,4320734904378,4366059143226,f
Comfort Zone - 5 Items  Auto renew,4320734904378,4366059143226,f
English Fog - 3 Items,2514830491706,4366058782778,f
Floral Bliss - 2 Items,4320724910138,4366058225722,f
Floral Bliss - 3 Items,4320725106746,4366058782778,f
Floral Bliss - 5 Items,4320726024250,4366059143226,f
Gear Up - 3 Items,4320731660346,4366058782778,f
Gear Up - 5 Items,4320732905530,4366059143226,f
Golden Hour - 3 Items,2494101356602,4366058782778,f
Golden Hour - 5 Items,2494101553210,4366059143226,f
Lowkey Luxe - 3 Items,2494103453754,4366058782778,f
Lowkey Luxe - 5 Items,2494103683130,4366059143226,f
Power of Pink - 3 Items,2514826788922,4366058782778,f
Ruby Sheen - 3 Items,4320735559738,4366058782778,f
Second Skin - 3 Items,2525983998010,4366058782778,f
Show Your Stripes - 2 Items,4320727367738,4366058225722,f
Show Your Stripes - 3 Items,4320729464890,4366058782778,f
Show Your Stripes - 5 Items,4320730775610,4366059143226,f
Velvet Crush - 5 Items,2525978525754,4366059143226,f
Wild Heart - 3 Items,2494104535098,4366058782778,f
Wild Heart - 5 Items,2494104698938,4366059143226,f
Winter Rose - 3 Items,4320726581306,4366058782778,f
